2016-08-04 00:02:18:947  INFO SYSTEM:mkdb.Worker.scheduled.29 - gametime update.curGameTime:11gametime:0
2016-09-08 15:36:46:552  INFO SYSTEM:main - SERVER STARTING...
2016-09-08 15:36:46:660  INFO SYSTEM:main - register bean name=fire.pb.activity.ActivityConfNew
2016-09-08 15:36:46:675  INFO SYSTEM:main - register bean name=fire.pb.activity.ActivityConfNew4D
2016-09-08 15:36:46:675  INFO SYSTEM:main - register bean name=fire.pb.activity.SFestivalConf
2016-09-08 15:36:46:691  INFO SYSTEM:main - register bean name=fire.pb.activity.SFestivalConf4D
2016-09-08 15:36:46:816  INFO SYSTEM:main - register bean name=fire.pb.battle.SAIAction
2016-09-08 15:36:46:910  INFO SYSTEM:main - register bean name=fire.pb.battle.SBattleAI
2016-09-08 15:36:47:019  INFO SYSTEM:main - register bean name=fire.pb.battle.SBattleInfo
2016-09-08 15:36:47:019  INFO SYSTEM:main - register bean name=fire.pb.battle.SBattleMonsterConfig
2016-09-08 15:36:47:035  INFO SYSTEM:main - register bean name=fire.pb.battle.SCatchRate
2016-09-08 15:36:47:066  INFO SYSTEM:main - register bean name=fire.pb.battle.SCondition
2016-09-08 15:36:47:066  INFO SYSTEM:main - register bean name=fire.pb.battle.SEffectPostions
2016-09-08 15:36:47:066  INFO SYSTEM:main - register bean name=fire.pb.battle.SFormationConfig
2016-09-08 15:36:47:066  INFO SYSTEM:main - register bean name=fire.pb.battle.SRoleFighteAI
2016-09-08 15:36:47:082  INFO SYSTEM:main - register bean name=fire.pb.battle.STargetFilter
2016-09-08 15:36:47:082  INFO SYSTEM:main - register bean name=fire.pb.buff.SBuffClashs
2016-09-08 15:36:47:097  INFO SYSTEM:main - register bean name=fire.pb.buff.SCBuffConfig
2016-09-08 15:36:47:097  INFO SYSTEM:main - register bean name=fire.pb.buff.SIBuffConfig
2016-09-08 15:36:47:175  INFO SYSTEM:main - register bean name=fire.pb.circletask.AnYeMaXiTuanConf
2016-09-08 15:36:47:175  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircleTaskAutoAccept
2016-09-08 15:36:47:175  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTask
2016-09-08 15:36:47:191  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskChallengeNpc
2016-09-08 15:36:47:191  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskConf
2016-09-08 15:36:47:191  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskItemCollect
2016-09-08 15:36:47:207  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskItemFind
2016-09-08 15:36:47:207  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskItemFindLegend
2016-09-08 15:36:47:207  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskItemUse
2016-09-08 15:36:47:207  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskKillMonster
2016-09-08 15:36:47:207  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskMailNpc
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskPatrol
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.CircTaskPetCatch
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.DemonstrateDefaultMonster
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.PVPAwardConfig
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.PVPMatchTimeConfig
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.PVPScoreAwardConfig
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.Random4AnYeMaXiTuan
2016-09-08 15:36:47:222  INFO SYSTEM:main - register bean name=fire.pb.circletask.RenXingCircTaskCost
2016-09-08 15:36:47:238  INFO SYSTEM:main - register bean name=fire.pb.circletask.SCircTaskMonsterConfig
2016-09-08 15:36:47:238  INFO SYSTEM:main - register bean name=fire.pb.circletask.SPVP1MapConfig
2016-09-08 15:36:47:238  INFO SYSTEM:main - register bean name=fire.pb.circletask.SPVP3MapConfig
2016-09-08 15:36:47:238  INFO SYSTEM:main - register bean name=fire.pb.circletask.SPVP5MapConfig
2016-09-08 15:36:47:238  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanDrugstore
2016-09-08 15:36:47:238  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanFight
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanGoldBank
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanHotel
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanLobby
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanPosition
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.clan.SClanyaofang
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.clan.SRuneSet
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.common.SCommon
2016-09-08 15:36:47:254  INFO SYSTEM:main - register bean name=fire.pb.effect.SAbilityScore
2016-09-08 15:36:47:269  INFO SYSTEM:main - register bean name=fire.pb.effect.SAttrEffectID2Name
2016-09-08 15:36:47:269  INFO SYSTEM:main - register bean name=fire.pb.effect.SEquipAbilityScore
2016-09-08 15:36:47:269  INFO SYSTEM:main - register bean name=fire.pb.effect.SEquipSkillShowConfig
2016-09-08 15:36:47:269  INFO SYSTEM:main - register bean name=fire.pb.effect.SPetAbilityScore
2016-09-08 15:36:47:269  INFO SYSTEM:main - register bean name=fire.pb.friends.FriendGiveGift
2016-09-08 15:36:47:269  INFO SYSTEM:main - register bean name=fire.pb.friends.FriendGiveItem
2016-09-08 15:36:47:316  INFO SYSTEM:main - register bean name=fire.pb.friends.MyRecruitAwards
2016-09-08 15:36:47:316  INFO SYSTEM:main - register bean name=fire.pb.friends.RecruitAwards
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.friends.SpaceDropGift
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.friends.XshGiveGift
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SAddCash
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SAddCashPCard
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SChargeReturnProfit
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SCommonDayPay
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SCreditPoint
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SFreeDisRewardConfig
2016-09-08 15:36:47:332  INFO SYSTEM:main - register bean name=fire.pb.fushi.SFreeDisRewardConfigDayPay
2016-09-08 15:36:47:347  INFO SYSTEM:main - register bean name=fire.pb.fushi.SMonthCardConfig
2016-09-08 15:36:47:347  INFO SYSTEM:main - register bean name=fire.pb.fushi.SMonthCardConfigDayPay
2016-09-08 15:36:47:347  INFO SYSTEM:main - register bean name=fire.pb.fushi.SRedPackConfig
2016-09-08 15:36:47:347  INFO SYSTEM:main - register bean name=fire.pb.fushi.SSpotCardConfig
2016-09-08 15:36:47:347  INFO SYSTEM:main - register bean name=fire.pb.fushi.SVipInfoConfig
2016-09-08 15:36:47:379  INFO SYSTEM:main - register bean name=fire.pb.game.SActivityAward
2016-09-08 15:36:47:410  INFO SYSTEM:main - register bean name=fire.pb.game.SBindTelAward
2016-09-08 15:36:47:425  INFO SYSTEM:main - register bean name=fire.pb.game.SCrossGlobal
2016-09-08 15:36:47:425  INFO SYSTEM:main - register bean name=fire.pb.game.Sdongtaifuwu
2016-09-08 15:36:47:425  INFO SYSTEM:main - register bean name=fire.pb.game.SFirstPayReward
2016-09-08 15:36:47:425  INFO SYSTEM:main - register bean name=fire.pb.game.SFortuneWheel
2016-09-08 15:36:47:441  INFO SYSTEM:main - register bean name=fire.pb.game.SImperialExamProvinceRepo
2016-09-08 15:36:47:441  INFO SYSTEM:main - register bean name=fire.pb.game.SImperialExamStateRankReward
2016-09-08 15:36:47:472  INFO SYSTEM:main - register bean name=fire.pb.game.SImperialExamStateRepo
2016-09-08 15:36:47:488  INFO SYSTEM:main - register bean name=fire.pb.game.SImperialExamVillageRepo
2016-09-08 15:36:47:488  INFO SYSTEM:main - register bean name=fire.pb.game.Smuldayloginreward
2016-09-08 15:36:47:488  INFO SYSTEM:main - register bean name=fire.pb.game.Snpcjianglifafang
2016-09-08 15:36:47:519  INFO SYSTEM:main - register bean name=fire.pb.game.SPointCardActivityAward
2016-09-08 15:36:47:535  INFO SYSTEM:main - register bean name=fire.pb.game.SPointCardBindTelAward
2016-09-08 15:36:47:535  INFO SYSTEM:main - register bean name=fire.pb.game.SPointCardFirstPayReward
2016-09-08 15:36:47:597  INFO SYSTEM:main - register bean name=fire.pb.game.SPointCardImperialExamProvinceRepo
2016-09-08 15:36:47:660  INFO SYSTEM:main - register bean name=fire.pb.game.SPointCardImperialExamStateRepo
2016-09-08 15:36:47:691  INFO SYSTEM:main - register bean name=fire.pb.game.SPointCardImperialExamVillageRepo
2016-09-08 15:36:47:691  INFO SYSTEM:main - register bean name=fire.pb.game.SPVPCrossWhiteList
2016-09-08 15:36:47:691  INFO SYSTEM:main - register bean name=fire.pb.game.Sregreward
2016-09-08 15:36:47:707  INFO SYSTEM:main - register bean name=fire.pb.game.SRollCardConfig
2016-09-08 15:36:47:707  INFO SYSTEM:main - register bean name=fire.pb.game.SSchoolWheel
2016-09-08 15:36:47:722  INFO SYSTEM:main - register bean name=fire.pb.game.STransferRoleTable
2016-09-08 15:36:47:738  INFO SYSTEM:main - register bean name=fire.pb.game.STransferTable
2016-09-08 15:36:47:738  INFO SYSTEM:main - register bean name=fire.pb.gm.About360XuanShang
2016-09-08 15:36:47:753  INFO SYSTEM:main - register bean name=fire.pb.gm.SGMStandard
2016-09-08 15:36:47:753  INFO SYSTEM:main - register bean name=fire.pb.instance.SBingFengCfg
2016-09-08 15:36:47:753  INFO SYSTEM:main - register bean name=fire.pb.instance.SBingFengJiangLiCfg
2016-09-08 15:36:47:753  INFO SYSTEM:main - register bean name=fire.pb.instance.SBingFengPingJi
2016-09-08 15:36:47:753  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstaceConfig
2016-09-08 15:36:47:753  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstaceEvent
2016-09-08 15:36:47:769  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstaceNpc
2016-09-08 15:36:47:769  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstanceAct
2016-09-08 15:36:47:769  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstanceChildSave
2016-09-08 15:36:47:785  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstanceSave
2016-09-08 15:36:47:785  INFO SYSTEM:main - register bean name=fire.pb.instance.SInstanceService
2016-09-08 15:36:47:785  INFO SYSTEM:main - register bean name=fire.pb.item.BagConfig
2016-09-08 15:36:48:097  INFO SYSTEM:main - register bean name=fire.pb.item.DEquipItemShuXing
2016-09-08 15:36:48:097  INFO SYSTEM:main - register bean name=fire.pb.item.DgemItemShuXing
2016-09-08 15:36:48:144  INFO SYSTEM:main - register bean name=fire.pb.item.DGroceryItemShuXing
2016-09-08 15:36:48:160  INFO SYSTEM:main - register bean name=fire.pb.item.DItemClassConfig
2016-09-08 15:36:48:160  INFO SYSTEM:main - register bean name=fire.pb.item.DItemShuXing
2016-09-08 15:36:48:160  INFO SYSTEM:main - register bean name=fire.pb.item.DPetItemShuXing
2016-09-08 15:36:48:160  INFO SYSTEM:main - register bean name=fire.pb.item.DSEquipHeCheng
