2016-08-03 16:27:24:888  INFO TASK:main - task模块初始化开始
2016-08-03 16:27:24:904  INFO TASK:main - task模块初始化完成
2016-08-03 16:27:24:904  INFO TASK:main - 开始清理过期无效充值订单...
2016-08-03 16:27:24:904  INFO TASK:main - 开始清理过期无效充值订单...size=0
2016-08-03 16:27:24:904  INFO TASK:main - 开始清理过期无效充值订单历史...
2016-08-03 16:27:24:904  INFO TASK:main - 开始清理过期无效充值订单历史...size=0
2016-08-03 16:45:22:125  INFO TASK:mkdb.Worker.procedure.44 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:45:22:136  WARN TASK:mkdb.Worker.procedure.44 - 角色[4097]当前等级:1！随机任务总权重:0错误(<=0)！
2016-08-03 16:45:22:777  INFO TASK:mkdb.Worker.procedure.36 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:45:22:777  INFO TASK:mkdb.Worker.procedure.36 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:45:24:944  INFO TASK:mkdb.Worker.procedure.30 - 角色[4097]接受任务成功:180101
2016-08-03 16:50:15:878  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:878  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:2！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:909  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:909  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:3！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:909  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:909  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:4！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:909  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:909  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:5！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:909  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:909  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:6！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:909  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:909  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:7！随机任务总权重:0错误(<=0)！
